,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
299,V247,15,7,18,14,23,15.4
300,V248,39,61,101,89,117,81.4
301,V249,19,13,29,22,52,27.0
302,V250,58,80,130,89,170,105.4
303,V251,79,93,198,217,274,172.2
304,V252,21,6,21,17,14,15.8
305,V253,53,59,136,120,122,98.0
306,V254,27,8,50,38,57,36.0
307,V255,35,36,80,78,85,62.8
308,V256,77,73,212,177,241,156.0
309,V257,55,92,226,216,262,170.2
310,V258,213,282,466,445,445,370.2
311,V259,215,139,252,212,307,225.0
312,V260,79,120,201,161,265,165.2
313,V261,223,278,600,506,679,457.2
314,V262,120,163,275,249,387,238.8
315,V263,243,251,593,448,450,397.0
316,V264,546,593,1070,794,959,792.4
317,V265,299,351,752,525,671,519.6
318,V266,140,200,382,421,636,355.8
319,V267,258,309,597,657,819,528.0
320,V268,125,176,349,361,499,302.0
321,V269,10,7,13,12,19,12.2
322,V270,169,192,372,334,443,302.0
323,V271,149,186,510,411,560,363.2
324,V272,121,172,366,355,370,276.8
325,V273,72,111,267,234,264,189.6
326,V274,173,229,521,448,601,394.4
327,V275,108,131,310,292,397,247.6
328,V276,88,101,277,233,315,202.8
329,V277,127,212,571,475,592,395.4
330,V278,85,106,367,326,363,249.4
331,V279,171,125,263,274,312,229.0
332,V280,185,211,389,386,443,322.8
333,V281,201,240,575,642,860,503.6
334,V282,413,558,1098,1195,1422,937.2
335,V283,517,691,1491,1265,1698,1132.4
336,V284,12,24,60,78,106,56.0
337,V285,865,833,1623,1487,1475,1256.6
338,V286,55,86,131,201,282,151.0
339,V287,138,135,221,243,250,197.4
340,V288,41,43,143,201,315,148.6
341,V289,223,233,442,369,531,359.6
342,V290,73,73,130,143,179,119.6
343,V291,405,508,887,776,1039,723.0
344,V292,103,119,258,262,367,221.8
345,V293,88,85,196,185,221,155.0
346,V294,548,492,839,766,852,699.4
347,V295,94,112,239,231,230,181.2
348,V296,257,230,424,460,657,405.6
349,V297,26,18,43,41,62,38.0
350,V298,119,124,209,268,336,211.2
351,V299,27,39,88,78,93,65.0
352,V300,42,54,125,173,289,136.6
353,V301,52,38,111,138,211,110.0
354,V302,5,5,16,13,13,10.4
355,V303,44,55,91,106,97,78.6
356,V304,67,41,62,53,54,55.4
357,V305,0,0,0,0,0,0.0
358,V306,593,586,1136,985,1154,890.8
359,V307,2543,2625,4246,3557,4009,3396.0
360,V308,992,983,1768,1536,2004,1456.6
361,V309,259,393,811,771,953,637.4
362,V310,2786,2355,4193,3643,4265,3448.4
363,V311,137,293,516,715,713,474.8
364,V312,987,1126,1905,1834,1948,1560.0
365,V313,1239,2107,4033,3811,4862,3210.4
366,V314,1222,1464,2754,2517,2901,2171.6
367,V315,1090,1306,2665,2385,3556,2200.4
368,V316,225,293,476,491,513,399.6
369,V317,806,933,1510,1270,1575,1218.8
370,V318,289,420,782,651,701,568.6
371,V319,77,85,247,200,281,178.0
372,V320,448,440,1014,1091,1424,883.4
373,V321,116,167,453,421,525,336.4
374,V322,39,40,63,69,57,53.6
375,V323,115,201,331,278,304,245.8
376,V324,33,72,107,95,134,88.2
377,V325,2,3,2,7,4,3.6
378,V326,79,70,99,81,133,92.4
379,V327,24,18,28,33,42,29.0
380,V328,13,14,33,32,25,23.4
381,V329,33,29,42,66,66,47.2
382,V330,18,17,31,35,39,28.0
383,V331,75,69,135,102,149,106.0
384,V332,197,228,362,348,312,289.4
385,V333,122,128,197,171,210,165.6
386,V334,10,17,22,23,42,22.8
387,V335,70,125,187,147,235,152.8
388,V336,38,60,166,115,145,104.8
389,V337,38,36,87,64,60,57.0
390,V338,47,73,115,115,129,95.8
391,V339,34,46,91,74,114,71.8
392,test1,14974,13254,22887,17801,22599,18303.0
393,test2,9432,10048,16618,14144,15127,13073.8
394,test3,7253,5545,10804,8658,11909,8833.8
395,test4,9280,9183,15995,12227,16162,12569.4
396,P_emaildomain_bin,3696,3505,6998,5853,7240,5458.4
397,P_emaildomain_suffix,435,399,994,857,1263,789.6
398,R_emaildomain_bin,1227,1458,2582,2273,2757,2059.4
399,R_emaildomain_suffix,233,164,345,325,382,289.8
400,lastest_browser,0,0,0,0,0,0.0
401,id_01,1620,1455,2798,2270,2942,2217.0
402,id_02,6947,5785,8725,5916,7190,6912.6
403,id_03,173,266,464,506,674,416.6
404,id_04,69,54,255,214,274,173.2
405,id_05,2055,1853,3672,2735,3386,2740.2
406,id_06,2289,2147,3560,2588,4145,2945.8
407,id_07,60,108,225,194,316,180.6
408,id_08,126,75,175,155,181,142.4
409,id_09,427,333,675,575,738,549.6
410,id_10,98,56,159,143,198,130.8
411,id_11,290,240,460,312,388,338.0
412,id_12,10,12,39,35,29,25.0
413,id_13,1817,1652,3230,2548,3548,2559.0
414,id_14,1218,1052,1903,1418,1587,1435.6
415,id_15,145,195,301,229,317,237.4
416,id_16,50,52,142,108,158,102.0
417,id_17,248,430,816,686,863,608.6
418,id_18,967,902,1584,1354,1469,1255.2
419,id_19,5326,3691,6769,4698,6350,5366.8
420,id_20,4672,4059,7564,5916,7391,5920.4
421,id_21,70,52,114,82,128,89.2
422,id_22,11,10,8,7,8,8.8
423,id_23,8,10,12,13,25,13.6
424,id_24,8,8,60,61,90,45.4
425,id_25,26,13,122,71,146,75.6
426,id_26,39,24,102,72,123,72.0
427,id_27,1,1,1,0,1,0.8
428,id_28,47,30,60,46,26,41.8
429,id_29,18,25,32,19,26,24.0
430,id_30,1575,1682,2668,2008,2797,2146.0
431,id_31,2703,2808,5636,4436,5570,4230.6
432,id_32,426,433,531,450,481,464.2
433,id_33,1952,1542,2773,2082,2617,2193.2
434,id_34,146,161,258,169,200,186.8
435,id_35,6,8,16,15,30,15.0
436,id_36,35,40,106,101,126,81.6
437,id_37,113,135,269,191,329,207.4
438,id_38,379,307,660,550,579,495.0
439,DeviceType,246,275,573,558,674,465.2
440,DeviceInfo,1739,1773,3313,2671,3487,2596.6
